Episode,Score,Epsilon,Loss
0,23.0,1,
1,10.0,0.9558895783575597,0.6365222334861755
2,15.0,0.8866535105013078,0.636597216129303
3,36.0,0.7402609576967045,0.5117858052253723
4,36.0,0.6180388156137953,0.7409853339195251
5,20.0,0.5590843898207511,0.7684392929077148
6,12.0,0.5264466124450268,1.0823880434036255
7,12.0,0.49571413690105054,1.4773969650268555
8,9.0,0.4738479773082268,0.9672757983207703
9,14.0,0.4417353564707963,1.2839094400405884
10,16.0,0.40769130904675194,1.7683768272399902
11,9.0,0.3897078735047413,4.190685272216797
12,10.0,0.3706551064126331,19.543319702148438
13,11.0,0.3507711574848344,30.27876091003418
14,9.0,0.3352984938281715,4.238758563995361
15,11.0,0.3173112652388396,11.77860164642334
16,11.0,0.30028896908517405,6.163283824920654
17,10.0,0.285607880564032,4.499853610992432
18,14.0,0.2662522686041882,3.0029373168945312
19,10.0,0.2532352299289372,3.5692050457000732
20,14.0,0.23607350863684065,5.150603771209717
21,12.0,0.22229219984074702,4.93742036819458
22,14.0,0.20722748400265262,3.183307409286499
23,12.0,0.19513012515638165,5.279743671417236
24,19.0,0.17740377510930716,3.452960968017578
25,14.0,0.16538114245489302,2.7729055881500244
26,24.0,0.14663577052834775,2.7089250087738037
27,26.0,0.12871821987500112,0.16915641725063324
28,50.0,0.10018300685223579,1.4901442527770996
29,13.0,0.09386293109673778,0.25491905212402344
30,12.0,0.08838347664452084,2.981865167617798
31,10.0,0.08406242000238873,2.0873851776123047
32,9.0,0.08035439121179945,3.308499574661255
33,17.0,0.07379076075438468,1.962565541267395
34,46.0,0.058595424120670696,0.6680179238319397
35,12.0,0.05517478773284426,1.1007696390151978
36,9.0,0.052741004581916356,5.042753219604492
37,11.0,0.049911691230058335,1.7701431512832642
38,15.0,0.046296535966244,1.964010238647461
39,18.0,0.04230229704853423,4.582967758178711
40,30.0,0.036396227662238566,1.9940093755722046
41,15.0,0.033760011361539714,5.107646465301514
42,12.0,0.03178919665971424,0.2018875628709793
43,17.0,0.029192542808371146,0.1772642582654953
44,142.0,0.014326806379480736,5.169548511505127
45,30.0,0.012326557729527843,2.0368597507476807
46,74.0,0.008506478118345316,2.1632204055786133
47,25.0,0.007504587192205264,2.1168506145477295
48,42.0,0.006079896681224598,3.5593578815460205
49,54.0,0.004638126179940997,0.2229757457971573
50,41.0,0.0037764946170033096,1.855282187461853
51,38.0,0.0031215186808692973,1.7988959550857544
52,47.0,0.0024663274316532703,0.32008546590805054
53,118.0,0.0013651307876809894,1.6291247606277466
54,41.0,0.0011115284214299524,0.4414535462856293
55,58.0,0.0009954703940636294,0.20771189033985138
56,59.0,0.0009954703940636294,1.296974539756775
57,67.0,0.0009954703940636294,0.16201040148735046
58,33.0,0.0009954703940636294,0.184885635972023
59,48.0,0.0009954703940636294,0.1743144541978836
60,123.0,0.0009954703940636294,0.23755919933319092
61,65.0,0.0009954703940636294,0.1349024474620819
62,88.0,0.0009954703940636294,0.9676072597503662
63,79.0,0.0009954703940636294,4.163333415985107
64,73.0,0.0009954703940636294,0.09637179225683212
65,101.0,0.0009954703940636294,1.6269654035568237
66,125.0,0.0009954703940636294,0.15141861140727997
67,148.0,0.0009954703940636294,8.50652027130127
68,170.0,0.0009954703940636294,0.04465414956212044
69,109.0,0.0009954703940636294,0.13206344842910767
70,73.0,0.0009954703940636294,0.07636161148548126
71,72.0,0.0009954703940636294,3.359074354171753
72,122.0,0.0009954703940636294,7.654945373535156
73,141.0,0.0009954703940636294,1.1471072435379028
74,191.0,0.0009954703940636294,1.0132569074630737
75,126.0,0.0009954703940636294,0.6724762916564941
76,88.0,0.0009954703940636294,0.7615904211997986
77,127.0,0.0009954703940636294,0.06381987780332565
78,210.0,0.0009954703940636294,0.015080505050718784
79,162.0,0.0009954703940636294,0.02333182282745838
80,210.0,0.0009954703940636294,0.050781894475221634
81,73.0,0.0009954703940636294,0.040075790137052536
82,184.0,0.0009954703940636294,0.022370949387550354
83,210.0,0.0009954703940636294,0.7095739245414734
84,191.0,0.0009954703940636294,0.10110915452241898
85,60.0,0.0009954703940636294,0.022325068712234497
86,81.0,0.0009954703940636294,0.026533380150794983
87,210.0,0.0009954703940636294,0.039230410009622574
88,101.0,0.0009954703940636294,0.03686703369021416
89,118.0,0.0009954703940636294,0.06786315143108368
90,210.0,0.0009954703940636294,0.06620583683252335
91,210.0,0.0009954703940636294,0.012116356752812862
92,167.0,0.0009954703940636294,0.012911687605082989
93,194.0,0.0009954703940636294,0.008947009220719337
94,173.0,0.0009954703940636294,0.00914771668612957
95,210.0,0.0009954703940636294,0.020914971828460693
96,210.0,0.0009954703940636294,0.025673964992165565
97,210.0,0.0009954703940636294,0.01127439271658659
98,210.0,0.0009954703940636294,0.01187198143452406
99,190.0,0.0009954703940636294,0.008908400312066078
